Challenge,WT,T8A,N3A,WT-T8A,WT-N3A,T8A-N3A,TP,TN
Primary,0.018098591549295776,0.009295774647887323,0.0,0.006204225352112676,0.009929577464788732,0.0006901408450704225,0.0025,0.9532816901408451
Primary,0.03002577319587629,0.011494845360824742,0.0005798969072164948,0.016237113402061857,0.0032989690721649486,0.0009600515463917525,0.0017010309278350515,0.9357023195876288
Primary,0.03535294117647059,0.026470588235294117,0.0005394117647058823,0.013764705882352941,0.01576470588235294,0.0007294117647058824,0.0016,0.9057782352941176
Primary,0.023671497584541065,0.011594202898550725,0.0007294685990338164,0.003599033816425121,0.0030917874396135265,0.00048067632850241546,0.0018985507246376812,0.9549347826086957
Primary,0.045302325581395346,0.008511627906976744,0.0,0.010604651162790697,0.007627906976744186,0.0,0.005534883720930232,0.9224186046511628
Memory,0.015,0.0,0.0,0.0,0.0,0.0,0.0005396341463414635,0.9844603658536585
Memory,0.010316742081447963,0.0,0.0,0.0,0.0,0.0,0.0,0.989683257918552
Memory,0.01301470588235294,0.0,0.0006213235294117647,0.0,0.0006213235294117647,0.0,0.0,0.9857426470588235
Memory,0.01900383141762452,0.0,0.0009003831417624521,0.0017969348659003831,0.0026973180076628354,0.0,0.0,0.9756015325670498
Memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Memory,0.011593625498007968,0.0,0.0,0.002601593625498008,0.0,0.0,0.0,0.985804780876494
Memory,0.029226190476190475,0.0,0.0,0.009761904761904762,0.002398809523809524,0.0,0.0,0.9586130952380952
Memory,0.016792929292929294,0.0,0.0,0.04696969696969697,0.0,0.0,0.0,0.9362373737373737
Memory,0.019814814814814816,0.00662037037037037,0.0,0.0033055555555555555,0.0,0.0,0.0,0.9702592592592593
WT challenge,0.1440677966101695,0.001694915254237288,0.0004398305084745763,0.28728813559322036,0.0,0.0,0.0,0.5665093220338983
WT challenge,0.12254901960784313,0.010490196078431373,0.0,0.06156862745098039,0.004519607843137255,0.0,0.0052156862745098035,0.7956568627450981
WT challenge,0.18432510885341075,0.0003004354136429608,0.0003004354136429608,0.06415094339622641,0.0,0.0,0.0003004354136429608,0.7506226415094339
WT challenge,0.023596938775510203,0.002099489795918367,0.0,0.15612244897959185,0.0031122448979591837,0.0,0.002099489795918367,0.8129693877551021
T8A challenge,0.0017073170731707317,0.14292682926829267,0.00034959349593495937,0.07723577235772358,0.00034959349593495937,0.00017073170731707316,0.006601626016260163,0.7706585365853659
T8A challenge,0.003406940063091483,0.008391167192429022,0.00038170347003154575,0.04290220820189274,0.001501577287066246,0.0,0.012996845425867508,0.9304195583596214
T8A challenge,0.02033613445378151,0.021596638655462186,0.0006983193277310925,0.07831932773109243,0.0008184873949579832,0.0003495798319327731,0.02033613445378151,0.8575453781512605
T8A challenge,0.0025,0.029074074074074075,0.0005490740740740741,0.0064907407407407405,0.00021944444444444444,0.0,0.00011018518518518518,0.9610564814814815
T8A challenge,0.002900763358778626,0.03155216284987277,0.0004592875318066158,0.03524173027989822,0.0004592875318066158,0.00030025445292620865,0.0366412213740458,0.8924452926208651
T8A challenge,0.0035044929396662386,0.05956354300385109,0.0,0.028754813863928114,0.0016046213093709885,0.0,0.0020025673940949934,0.9045699614890885
N3A challenge,0.020398593200468933,0.0,0.0,0.0015005861664712779,0.06201641266119578,0.0007702227432590856,0.141852286049238,0.7734618991793669
N3A challenge,0.0,0.0,0.0,0.0,0.03690140845070423,0.0,0.0,0.9630985915492958
N3A challenge,0.026527050610820245,0.0,0.0023036649214659686,0.018150087260034906,0.027050610820244327,0.0,0.02006980802792321,0.9058987783595114
