Challenge,WT,T8A,N3A,WT-T8A,WT-N3A,T8A-N3A,TP,TN
Primary,0.0,0.21570926143024619,0.0,0.0,0.0,0.0,0.0,0.7842907385697538
Primary,0.0,0.05419734904270987,0.0,0.18851251840942562,0.0,0.0,0.0,0.7572901325478645
Primary,0.0,0.0,0.0,0.0726507713884993,0.0,0.0,0.0,0.9273492286115007
Primary,0.014880694143167028,0.1789587852494577,0.0,0.0,0.0,0.0,0.0,0.8061605206073753
Primary,0.032320441988950274,0.032320441988950274,0.0,0.0,0.0,0.0,0.0,0.9353591160220994
Memory,0.005091743119266055,0.004694189602446483,0.0004296636085626911,0.0016972477064220184,0.0004296636085626911,0.0,0.0,0.9876574923547401
Memory,0.008591117917304747,0.00450229709035222,0.0,0.0035068912710566618,0.0,0.0,0.0,0.9833996937212863
Memory,0.0017977528089887641,0.0025983146067415732,0.0,0.0012991573033707866,0.0004396067415730337,0.0,0.0004396067415730337,0.9934255617977528
Memory,0.006302729528535981,0.0013027295285359803,0.0,0.00033002481389578166,0.00033002481389578166,0.0,0.0,0.9917344913151365
Memory,0.0057,0.0085,0.0019,0.0031,0.0018,0.0,0.0,0.979
Memory,0.010805860805860806,0.01619047619047619,0.0,0.0,0.0,0.0,0.0,0.973003663003663
Memory,0.008098591549295774,0.004605633802816901,0.0014014084507042253,0.0015070422535211267,0.001,0.0,0.0,0.983387323943662
WT challenge,0.009125,0.0075,0.0,0.19041666666666668,0.0,0.0,0.0006791666666666667,0.7922791666666666
WT challenge,0.0040978593272171255,0.0837920489296636,0.0,0.19938837920489297,0.0,0.0,0.0,0.7127217125382262
WT challenge,0.02198443579766537,0.0433852140077821,0.0,0.06731517509727626,0.0,0.0,0.0,0.8673151750972763
WT challenge,0.009695431472081219,0.04860406091370558,0.0,0.22461928934010153,0.0001700507614213198,0.0,0.0001700507614213198,0.7167411167512691
T8A challenge,0.000270353982300885,0.3035398230088496,0.000270353982300885,0.004513274336283186,0.0,0.004004424778761062,0.0005309734513274337,0.686870796460177
T8A challenge,0.0016017699115044247,0.0536283185840708,0.0008106194690265487,0.029734513274336283,0.0,0.0,0.0,0.9142247787610619
T8A challenge,0.0005096774193548387,0.2854838709677419,0.0005096774193548387,0.007991935483870968,0.0,0.0,0.0,0.7055048387096774
T8A challenge,0.0006202090592334495,0.15911730545876887,0.0021951219512195124,0.009605110336817654,0.0,0.0,0.0,0.8284622531939605
T8A challenge,0.0010975609756097562,0.255609756097561,0.0,0.008585365853658537,0.0,0.0,0.0,0.7347073170731707
N3A challenge,0.001198019801980198,0.002792079207920792,0.003396039603960396,0.000599009900990099,0.000699009900990099,0.0,0.000399009900990099,0.9909168316831684
N3A challenge,0.0019975786924939466,0.0009297820823244552,0.006004842615012106,0.0034987893462469733,0.00046004842615012106,0.0,0.001900726392251816,0.9852082324455206
N3A challenge,0.00040033783783783786,0.0006300675675675676,0.009611486486486487,0.0012010135135135135,0.0022972972972972973,0.0,7.922297297297298e-05,0.9857805743243243
N3A challenge,0.006494082840236687,0.0008905325443786982,0.0052958579881656805,0.003594674556213018,0.0005902366863905326,0.0,0.0,0.9831346153846154
N3A challenge,0.000530188679245283,0.000530188679245283,0.0032075471698113206,0.000530188679245283,0.00369811320754717,0.0,0.0,0.9915037735849057
