"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-T8A",0.000256740914419717,-0.126069396518459,0.126582878347299,1
"N3A-T8A",0.000767888307155309,-0.125558249125724,0.127094025740034,1
"WT.T8A-T8A",0.00655022447550201,-0.119775912957377,0.132876361908381,0.999999512540159
"WT-T8A",0.0156418812704296,-0.110684256162449,0.141968018703309,0.999815246431199
"WT.N3A-T8A",0.0419894773107148,-0.0843366601221643,0.168315614743594,0.934781780978263
"TP-T8A",0.0539740313590536,-0.0723521060738255,0.180300168791933,0.807353653563583
"TN-T8A",0.880819756362725,0.754493618929846,1.0071458937956,1.60549351591044e-12
"N3A-T8A.N3A",0.000511147392735593,-0.125814990040143,0.126837284825615,1
"WT.T8A-T8A.N3A",0.00629348356108229,-0.120032653871797,0.132619620993961,0.999999630593939
"WT-T8A.N3A",0.0153851403560099,-0.110940997076869,0.141711277788889,0.999834456709747
"WT.N3A-T8A.N3A",0.041732736396295,-0.084593401036584,0.168058873829174,0.936675569729236
"TP-T8A.N3A",0.0537172904446339,-0.0726088469882452,0.180043427877513,0.810817033784642
"TN-T8A.N3A",0.880563015448305,0.754236878015426,1.00688915288118,1.61326507708281e-12
"WT.T8A-N3A",0.0057823361683467,-0.120543801264532,0.132108473601226,0.999999794841753
"WT-N3A",0.0148739929632743,-0.111452144469605,0.141200130396153,0.999867775474928
"WT.N3A-N3A",0.0412215890035595,-0.0851045484293196,0.167547726436439,0.940339727172746
"TP-N3A",0.0532061430518983,-0.0731199943809808,0.179532280484777,0.817630479634434
"TN-N3A",0.88005186805557,0.753725730622691,1.00637800548845,1.62858615482264e-12
"WT-WT.T8A",0.00909165679492761,-0.117234480637951,0.135417794227807,0.999995309947469
"WT.N3A-WT.T8A",0.0354392528352128,-0.0908868845976663,0.161765390268092,0.972403585709604
"TP-WT.T8A",0.0474238068835516,-0.0789023305493275,0.173749944316431,0.886239723238808
"TN-WT.T8A",0.874269531887223,0.747943394454344,1.0005956693201,1.81310522151534e-12
"WT.N3A-WT",0.0263475960402851,-0.0999785413925939,0.152673733473164,0.994896655483542
"TP-WT",0.038332150088624,-0.0879939873442551,0.164658287521503,0.958451565262278
"TN-WT",0.865177875092295,0.738851737659416,0.991504012525174,2.1440627051561e-12
"TP-WT.N3A",0.0119845540483388,-0.11434158338454,0.138310691481218,0.99996905999841
"TN-WT.N3A",0.83883027905201,0.712504141619131,0.965156416484889,3.46123130157139e-12
"TN-TP",0.826845725003671,0.700519587570792,0.95317186243655,4.28967972254668e-12
